moment,duration,age,race,gender,reflection
my daughter showed improved in her maths result,A few minutes,35-44 years old,Chinese,Female,24 h
People liking my post on social media.,I'm still feeling it,18-24 years old,Chinese,Female,24 h
My child cook a meal for me when I am busy with house chores.,All day,35-44 years old,Chinese,Female,24 h
"Recently, I was promoted to Sr Manager.",Half a day,65+ years old,Indian,Male,24 h
I paid a huge amount of sum to my bill to clear it off,I'm still feeling it,18-24 years old,Indian,Female,24 h
I had yummy Korean lunch.,A few minutes,25-34 years old,Chinese,Female,24 h
I spent my day off with my love one,I'm still feeling it,25-34 years old,Chinese,Male,24 h
"I had lunch with a friend and we had a deep talk about friendship, life and she gave me lots of inspirations.",Half a day,45-54 years old,Chinese,Female,24 h
When my sis cooked for me my fave food for dinner tonight.,I'm still feeling it,25-34 years old,Chinese,Female,24 h
Jeff Jeff Jeff DJ other is XX Jeff link.,At least one hour,25-34 years old,Chinese,Male,24 h
Sleeping in the night as I rarely sleep at night ,Half a day,18-24 years old,Indian,Male,24 h
Able to chant to buddah and think positive helping everyone. ,All day,55-64 years old,Chinese,Male,24 h
my grandma gave me a call because she said that it has been long since she has heard my voice.,I'm still feeling it,25-34 years old,Chinese,Female,24 h
"One happy moment in the past 24 hours was when I was alone at home, just chilling by myself",A few minutes,25-34 years old,Chinese,Female,24 h
Got a good sleep,Half a day,25-34 years old,Chinese,Male,24 h
When i finish my task in work.,A few minutes,45-54 years old,Other:,Male,24 h
When the moments with my whole family,A few minutes,25-34 years old,Chinese,Female,24 h
Happy with my granddaughter ,A few minutes,55-64 years old,Indian,Female,24 h
Strike Lottery,All day,35-44 years old,Chinese,Female,24 h
My boss approve my leave ,A few minutes,35-44 years old,Chinese,Male,24 h
I play ukulele ,All day,25-34 years old,Malay,Male,24 h
Family gathered for dinner to celebrate Mother’s Day,At least one hour,45-54 years old,Chinese,Female,24 h
I make a donation towards charity ,A few minutes,55-64 years old,Chinese,Male,24 h
Someone Girl I like  replied me and message .,Half a day,35-44 years old,Chinese,Male,24 h
the couple chatted together,All day,25-34 years old,Other:,Female,24 h
When i sold my graded Pokemon cards charizard for $1100. I was really happy and i treat my family a good meal. The rest of the money i can save up.,All day,25-34 years old,Chinese,Male,24 h
THat i am still alive today,All day,45-54 years old,Chinese,Male,24 h
"my cats follow me.when i gave them.their breakfast and dinner.they love me.so much.
the cat which i foster is now.a.beauty.sl grateful",I'm still feeling it,35-44 years old,Chinese,Female,24 h
Ate a nice meal.,A few minutes,45-54 years old,Chinese,Male,24 h
My boyfriend comforted me when I was troubled with something,At least one hour,18-24 years old,Chinese,Female,24 h
Celebrating mothers day. ,A few minutes,55-64 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when i get to spent some quality time with my husband after so long.,I'm still feeling it,25-34 years old,Malay,Female,24 h
A happy moment is when a day passes without stress.,All day,45-54 years old,Chinese,Male,24 h
"A happy moment was when I actually sat down and complete a portrait 

",At least one hour,18-24 years old,Chinese,Female,24 h
My kids bought me a beautiful mother’s day bouquet of flowers . ,I'm still feeling it,55-64 years old,Malay,Female,24 h
Nothing in particular but that I am healthy and still be able to do what I want.,All day,55-64 years old,Chinese,Male,24 h
when mum was dicharged,A few minutes,45-54 years old,Chinese,Male,24 h
"Lienent punishment meted out to our ""sovereign"" fellow citizen who consistently flouted the mask wearing rule; and secondly a group of people who confronted the Safe Distancing Ambassadors when advised against gathering with more that five people.",At least one hour,65+ years old,Chinese,Male,24 h
I knew I had a comfortable existence because I am relatively secure financially and have a caring spouse. ,A few minutes,55-64 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I had a wholesome and enjoying family dinner.,Half a day,18-24 years old,Chinese,Male,24 h
My son cook me a dish,All day,35-44 years old,Chinese,Female,24 h
I finally decluttered a small part of the accumulated mess at home.,I'm still feeling it,35-44 years old,Chinese,Female,24 h
"One happy moment in the past 24 hours was when I talked to my girlfriend.
Another happy moment is when my investments made money",At least one hour,18-24 years old,Chinese,Male,24 h
had a date with my hubby after so long,All day,45-54 years old,Malay,Female,24 h
I spent time play with my dogs at the park,At least one hour,45-54 years old,Chinese,Male,24 h
"I did not experience any side effects from my 2nd vaccine dose!  I was merely sleepy, which is such relief for me!",All day,55-64 years old,Chinese,Female,24 h
I managed to paint my room.,At least one hour,25-34 years old,Malay,Male,24 h
When I bought my self a chocolate,A few minutes,25-34 years old,Chinese,Female,24 h
Attending online church service on sunday. Found it comforting and a nice sunday routine.,All day,55-64 years old,Chinese,Male,24 h
My children expressed their gratitude to my wife and wish her happy mother's day.,A few minutes,55-64 years old,Chinese,Male,24 h
"5 Gallop strengths are 1. Activator, 2. Communication, 3. Restorative, 4. Positivity, & 5. Includer. There are times, I talk too much, but after my stroke, I learned to be much understanding and be aware of others' needs. That makes me Happy.",All day,55-64 years old,Chinese,Male,24 h
God answers my prayers,All day,45-54 years old,Chinese,Female,24 h
I'm happy have happily married and family. ,I'm still feeling it,45-54 years old,Chinese,Male,24 h
When I see my wife,A few minutes,45-54 years old,Chinese,Male,24 h
"Yesterday is Mother’s Day, on that moment I felt happy that in this COVID-19 
situation, all of my family members are healthy and had chance to gathering 
together ",At least one hour,45-54 years old,Chinese,Female,24 h
I clean my house which I thought i wont have the time. Ive done preparation for hari raya which I thought i won’t be celebrating.,I'm still feeling it,25-34 years old,Malay,Female,24 h
I helped my good friend solve a difficult relationship problem. The couple subsequently thank me for enlightening them and treat me to a meal which I gladly accepted,All day,45-54 years old,Chinese,Male,24 h
I help a college who fall and hurt his head and need to send to hospital for treatment ,All day,65+ years old,Chinese,Male,24 h
"One happy moment in the past 24 hours was when I treated myself to a meat platter consisting of roast duck, roast pork and char siew with rice. It was a fulfilling meal and it made me happy.",Half a day,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when i saw the BTS teaser photo. ,All day,25-34 years old,Chinese,Male,24 h
away from Singapore in a natural nation with lesser people,I'm still feeling it,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I had a staycay with my partner. It was fun.,All day,18-24 years old,Chinese,Female,24 h
WIth my mother,I'm still feeling it,45-54 years old,Chinese,Female,24 h
"I have not experienced any moment which made me happy. We are in the midst of a pandemic, how happy can we be?",A few minutes,55-64 years old,Chinese,Female,24 h
I celebrated Mother’s Day yesterday with my love ones.,Half a day,45-54 years old,Chinese,Female,24 h
When I saw a good bargain on an e-commerce platform.,I'm still feeling it,55-64 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when i found out that I've finally pass my driving licence after the 4th attempt.,I'm still feeling it,45-54 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when my order for a Nintendo Switch arrived.,At least one hour,18-24 years old,Malay,Female,24 h
I look forward weekend because it is family day,All day,45-54 years old,Chinese,Male,24 h
when my children ask me about my health,A few minutes,65+ years old,Chinese,Male,24 h
When I am with myfamily,At least one hour,18-24 years old,Chinese,Female,24 h
I was making sushi and sandwiches with my girlfriend,Half a day,18-24 years old,Chinese,Male,24 h
Receiving money from a debtor,A few minutes,25-34 years old,Chinese,Female,24 h
"I finish my run. 
",All day,18-24 years old,Chinese,Male,24 h
"Video calling my wife during my lunch break at work.
",I'm still feeling it,25-34 years old,Chinese,Male,24 h
Was when my children wish me a happy mothers day and a small token of appreciation. Feeling appreciated. ,A few minutes,55-64 years old,Malay,Female,24 h
