moment,duration,age,race,gender,reflection,id,concepts,Confidence
my daughter showed improved in her maths result,A few minutes,35-44 years old,Chinese,Female,24 h,6019,Family|Education,0.828|0.656
People liking my post on social media.,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6020,,
My child cook a meal for me when I am busy with house chores.,All day,35-44 years old,Chinese,Female,24 h,6021,Family|Food,0.833|0.593
"Recently, I was promoted to Sr Manager.",Half a day,65+ years old,Indian,Male,24 h,6022,,
I paid a huge amount of sum to my bill to clear it off,I'm still feeling it,18-24 years old,Indian,Female,24 h,6023,Career,0.604
I had yummy Korean lunch.,A few minutes,25-34 years old,Chinese,Female,24 h,6024,Food,0.894
I spent my day off with my love one,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6025,Family,0.77
"I had lunch with a friend and we had a deep talk about friendship, life and she gave me lots of inspirations.",Half a day,45-54 years old,Chinese,Female,24 h,6026,Family,0.713
When my sis cooked for me my fave food for dinner tonight.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6027,Food|Family,0.913|0.693
Jeff Jeff Jeff DJ other is XX Jeff link.,At least one hour,25-34 years old,Chinese,Male,24 h,6028,Family,0.558
Sleeping in the night as I rarely sleep at night,Half a day,18-24 years old,Indian,Male,24 h,6029,Family,0.637
Able to chant to buddah and think positive helping everyone.,All day,55-64 years old,Chinese,Male,24 h,6030,,
my grandma gave me a call because she said that it has been long since she has heard my voice.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6031,Family,0.835
"One happy moment in the past 24 hours was when I was alone at home, just chilling by myself",A few minutes,25-34 years old,Chinese,Female,24 h,6032,Entertainment,0.648
Got a good sleep,Half a day,25-34 years old,Chinese,Male,24 h,6033,,
When i finish my task in work.,A few minutes,45-54 years old,Other|,Male,24 h,6034,,
When the moments with my whole family,A few minutes,25-34 years old,Chinese,Female,24 h,6035,Family,0.837
Happy with my granddaughter,A few minutes,55-64 years old,Indian,Female,24 h,6036,Family,0.877
Strike Lottery,All day,35-44 years old,Chinese,Female,24 h,6037,Career,0.631
My boss approve my leave,A few minutes,35-44 years old,Chinese,Male,24 h,6038,Family,0.529
I play ukulele,All day,25-34 years old,Malay,Male,24 h,6039,Family,0.569
Family gathered for dinner to celebrate Mother�s Day,At least one hour,45-54 years old,Chinese,Female,24 h,6040,Family|Food,0.868|0.618
I make a donation towards charity,A few minutes,55-64 years old,Chinese,Male,24 h,6041,Career,0.513
Someone Girl I like  replied me and message .,Half a day,35-44 years old,Chinese,Male,24 h,6042,,
the couple chatted together,All day,25-34 years old,Other|,Female,24 h,6043,Family,0.63
When i sold my graded Pokemon cards charizard for $1100. I was really happy and i treat my family a good meal. The rest of the money i can save up.,All day,25-34 years old,Chinese,Male,24 h,6044,,
THat i am still alive today,All day,45-54 years old,Chinese,Male,24 h,6045,Family,0.572
my cats follow me.when i gave them.their breakfast and dinner.they love me.so much. the cat which i foster is now.a.beauty.sl grateful,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6046,Family|Food,0.58|0.504
Ate a nice meal.,A few minutes,45-54 years old,Chinese,Male,24 h,6047,Food,0.74
My boyfriend comforted me when I was troubled with something,At least one hour,18-24 years old,Chinese,Female,24 h,6048,Family,0.59
Celebrating mothers day.,A few minutes,55-64 years old,Chinese,Male,24 h,6049,Family,0.897
One happy moment in the past 24 hours was when i get to spent some quality time with my husband after so long.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6050,Entertainment|Family|Romance,0.636|0.579|0.527
A happy moment is when a day passes without stress.,All day,45-54 years old,Chinese,Male,24 h,6051,,
"A happy moment was when I actually sat down and complete a portrait   ",At least one hour,18-24 years old,Chinese,Female,24 h,6052,,
My kids bought me a beautiful mother�s day bouquet of flowers .,I'm still feeling it,55-64 years old,Malay,Female,24 h,6053,Family,0.825
Nothing in particular but that I am healthy and still be able to do what I want.,All day,55-64 years old,Chinese,Male,24 h,6054,,
when mum was dicharged,A few minutes,45-54 years old,Chinese,Male,24 h,6055,Family,0.802
"Lienent punishment meted out to our ""sovereign"" fellow citizen who consistently flouted the mask wearing rule; and secondly a group of people who confronted the Safe Distancing Ambassadors when advised against gathering with more that five people.",At least one hour,65+ years old,Chinese,Male,24 h,6056,,
I knew I had a comfortable existence because I am relatively secure financially and have a caring spouse.,A few minutes,55-64 years old,Chinese,Male,24 h,6057,Family,0.533
One happy moment in the past 24 hours was when I had a wholesome and enjoying family dinner.,Half a day,18-24 years old,Chinese,Male,24 h,6058,Food|Family,0.7|0.586
My son cook me a dish,All day,35-44 years old,Chinese,Female,24 h,6059,Family|Food,0.844|0.749
I finally decluttered a small part of the accumulated mess at home.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6060,Family,0.585
One happy moment in the past 24 hours was when I talked to my girlfriend. Another happy moment is when my investments made money,At least one hour,18-24 years old,Chinese,Male,24 h,6061,Romance|Career|Conversation,0.82|0.817|0.799
had a date with my hubby after so long,All day,45-54 years old,Malay,Female,24 h,6062,Family,0.613
I spent time play with my dogs at the park,At least one hour,45-54 years old,Chinese,Male,24 h,6063,,
"I did not experience any side effects from my 2nd vaccine dose!  I was merely sleepy, which is such relief for me!",All day,55-64 years old,Chinese,Female,24 h,6064,,
I managed to paint my room.,At least one hour,25-34 years old,Malay,Male,24 h,6065,Family,0.534
When I bought my self a chocolate,A few minutes,25-34 years old,Chinese,Female,24 h,6066,Food,0.571
Attending online church service on sunday. Found it comforting and a nice sunday routine.,All day,55-64 years old,Chinese,Male,24 h,6067,Family,0.584
My children expressed their gratitude to my wife and wish her happy mother's day.,A few minutes,55-64 years old,Chinese,Male,24 h,6068,Family,0.888
"5 Gallop strengths are 1. Activator, 2. Communication, 3. Restorative, 4. Positivity, & 5. Includer. There are times, I talk too much, but after my stroke, I learned to be much understanding and be aware of others' needs. That makes me Happy.",All day,55-64 years old,Chinese,Male,24 h,6069,Family,0.559
God answers my prayers,All day,45-54 years old,Chinese,Female,24 h,6070,Family,0.623
I'm happy have happily married and family.,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6071,Family,0.651
When I see my wife,A few minutes,45-54 years old,Chinese,Male,24 h,6072,Family,0.741
"Yesterday is Mother�s Day, on that moment I felt happy that in this COVID-19  situation, all of my family members are healthy and had chance to gathering  together",At least one hour,45-54 years old,Chinese,Female,24 h,6073,Family|Food,0.708|0.669
I clean my house which I thought i wont have the time. Ive done preparation for hari raya which I thought i won�t be celebrating.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6074,,
